path,type,rollover,accident_time,accident_frame,center_x,center_y,x1,y1,x2,y2,region,scene_layout,weather,day_time,quality,no_frames,duration,height,width,split_in_distribution,split_geo_aware
videos/Z4kg2Ev3vhk_00.mp4,rear-end,0,11.333,170,0.7359710965276457,0.32449853384093674,0.708076792389657,0.2719139955674833,0.7638654006656344,0.3770830721143901,Georgia,highway,normal,night,Very_Poor,424,29.967,1080,1584,test,test
videos/unS0-TLF1ao_00.mp4,t-bone,0,2.56,64,0.4408139503663372,0.11677798599531192,0.36646010486349906,0.07496927844954203,0.5151677958691753,0.1585866935410818,World,signalized_intersection,normal,night,Very_Poor,148,5.92,1080,1920,test,train
videos/UarP8qU1S-c_00.mp4,single,0,8.667,130,0.5983304287152491,0.23956581754813455,0.5772130234776199,0.2212505797146094,0.6194478339528782,0.25788105538165973,Virginia,highway,normal,night,Poor,222,15.333,2160,3840,train,test
videos/UarP8qU1S-c_01.mp4,single,0,2.033999999999999,30,0.6436103336257744,0.3261419625750528,0.6103694639866423,0.30310324315767023,0.6768512032649066,0.34918068199243535,Virginia,highway,normal,night,Poor,92,6.167000000000002,2160,3840,train,test
videos/nAXTthLfgtI_00.mp4,single,0,4.125,62,0.44196140395270556,0.2631676143187077,0.41783240149418616,0.24935719339936005,0.46609040641122496,0.2769780352380554,Virginia,highway,normal,night,Very_Poor,208,13.875,720,960,test,test
videos/fzWY0vLAXzI_00.mp4,t-bone,1,4.2,88,0.3738429670790817,0.15865915813434345,0.2947225091643737,0.042847996120306917,0.4529634249937898,0.27447032014837996,World,signalized_intersection,snow,day,Fine,188,8.866666,1080,1920,test,train
videos/vxZ47DoPNY8_00.mp4,single,1,2.8333329999999997,50,0.766782384048257,0.1465548309063667,0.7122739700786288,0.08309319549808482,0.8212907980178854,0.21001646631464857,World,city_street,rain,day,Good,138,7.733333000000001,1080,1920,test,train
videos/OXVXsdDT9QQ_00.mp4,t-bone,0,0.9999999999999999,17,0.609537557601119,0.449222597236723,0.3713693395262867,0.2633761047824245,0.8477057756759513,0.6350690896910215,World,signalized_intersection,normal,night,Fine,88,5.3,1080,1920,test,train
videos/VozrseCzhQc_00.mp4,single,0,5.583,84,0.6552197554799563,0.5726128432974175,0.6252408576162268,0.5436761919052903,0.6851986533436857,0.6015494946895447,Virginia,highway,rain,day,Poor,144,9.583,720,960,test,test
videos/kABWTDKgc9U_00.mp4,t-bone,0,6.566,197,0.5033242468107538,0.8366790702574894,0.39309587208131486,0.6733581405149789,0.6135526215401929,1.0,Alabama,signalized_intersection,normal,day,Good,887,29.599999999999998,1080,2400,test,test
videos/ftk_fSc4haM_00.mp4,t-bone,1,5.200000000000001,130,0.5920095566606638,0.2791989837530246,0.5276727121536775,0.24096376467698014,0.6563464011676501,0.31743420282906903,World,signalized_intersection,normal,night,Good,357,14.4,720,1280,test,train
videos/BgdKGnFqz0I_00.mp4,t-bone,0,5.033,125,0.4524462830291597,0.407348201981402,0.4223320776008147,0.38989235295459823,0.4825604884575047,0.4248040510082058,World,signalized_intersection,normal,day,Fine,240,9.633,720,1280,test,train
videos/LiM5LPSZoow_00.mp4,t-bone,0,3.583,53,0.3515483745457829,0.8551715749831462,0.20903891319781615,0.7104779111624928,0.49405783589374974,0.9998652388037996,Alabama,signalized_intersection,normal,day,Fine,448,29.917,720,1080,test,test
videos/F0NHENn-HS4_00.mp4,rear-end,0,2.533,39,0.48088433487101845,0.2632764492858974,0.4548809615958884,0.22433234967987478,0.5068877081461485,0.30222054889191996,Alabama,highway,normal,day,Fine,314,20.9,1080,1620,train,test
videos/maJsgJsapH4_00.mp4,rear-end,0,7.0,69,0.6096918196754824,0.5378166286112214,0.563505596587367,0.4677585082505641,0.6558780427635977,0.6078747489718785,Alabama,highway,normal,day,Poor,299,30.0,1080,1920,train,test
videos/iA_u73BG4ZM_00.mp4,rear-end,0,3.867,116,0.6292818862901115,0.5086121098732587,0.6068059391282048,0.49333689472937886,0.6517578334520181,0.5238873250171385,Alabama,highway,normal,day,Very_Poor,900,30.0,720,1280,test,test
videos/maJGw3hQs_s_00.mp4,t-bone,0,3.125,31,0.3325338358948649,0.3033578948235349,0.3026541602830316,0.28586222333972355,0.3624135115066982,0.32085356630734624,Alabama,simple_intersection,normal,day,Very_Poor,299,29.917,720,1280,test,test
videos/aPsS_HaokoU_00.mp4,t-bone,0,5.375,80,0.4188969045316456,0.8820730267578665,0.18545341163499787,0.7644258511373445,0.6523403974282933,0.9997202023783883,Alabama,signalized_intersection,normal,day,Poor,325,29.708,720,1056,test,test
videos/aF2Hbp8C23A_00.mp4,rear-end,1,3.042,45,0.3648590828435604,0.4844132335652447,0.3349133489363249,0.44458384859559386,0.3948048167507958,0.5242426185348955,Alabama,signalized_intersection,normal,day,Poor,145,9.708,720,1280,test,test
